plot_id,treatment,time,lifeform,Height_cm
2,fuelbreak,pregoat,Herb,6.540816327
2,fuelbreak,pregoat,Shrub,29.90816327
3,fuelbreak,pregoat,Herb,11.26315789
3,fuelbreak,pregoat,Shrub,20.80263158
4,fuelbreak,pregoat,Herb,14.80487805
4,fuelbreak,pregoat,Shrub,5.682926829
5,fuelbreak,pregoat,Herb,2.965
5,fuelbreak,pregoat,Shrub,35.36
6,fuelbreak,pregoat,Herb,5.428571429
6,fuelbreak,pregoat,Shrub,11.59183673
7,fuelbreak,pregoat,Herb,7.185
7,fuelbreak,pregoat,Shrub,16.55
8,fuelbreak,pregoat,Herb,3.32
8,fuelbreak,pregoat,Shrub,14.86
9,fuelbreak,pregoat,Herb,4.07
9,fuelbreak,pregoat,Shrub,11.75
10,fuelbreak,pregoat,Herb,2.55
10,fuelbreak,pregoat,Shrub,15.56
11,fuelbreak,pregoat,Herb,9.976470588
11,fuelbreak,pregoat,Shrub,2.823529412
12,fuelbreak,pregoat,Herb,5.625
12,fuelbreak,pregoat,Shrub,25.77
13,fuelbreak,pregoat,Herb,5.82
13,fuelbreak,pregoat,Shrub,11.67
14,fuelbreak,pregoat,Herb,3.45
14,fuelbreak,pregoat,Shrub,11.74
15,fuelbreak,pregoat,Herb,8.727272727
15,fuelbreak,pregoat,Shrub,13.68686869
16,fuelbreak,pregoat,Herb,6.266666667
16,fuelbreak,pregoat,Shrub,24.5
17,fuelbreak,pregoat,Herb,3.6
17,fuelbreak,pregoat,Shrub,20.87
19,contol,pregoat,Herb,0
19,contol,pregoat,Shrub,162.2857143
20,contol,pregoat,Herb,0.04
20,contol,pregoat,Shrub,64.47
21,contol,pregoat,Herb,1.454545455
21,contol,pregoat,Shrub,192.7045455
22,contol,pregoat,Herb,0
22,contol,pregoat,Shrub,87.4
23,contol,pregoat,Herb,0
23,contol,pregoat,Shrub,108.13
24,contol,pregoat,Herb,0
24,contol,pregoat,Shrub,66.36842105
25,contol,pregoat,Herb,0
25,contol,pregoat,Shrub,80.40243902
26,contol,pregoat,Herb,0
26,contol,pregoat,Shrub,122.7959184
2,fuelbreak,postgoat,Herb,1.6875
2,fuelbreak,postgoat,Shrub,26.3125
3,fuelbreak,postgoat,Herb,0.12
3,fuelbreak,postgoat,Shrub,13.33333333
4,fuelbreak,postgoat,Herb,0.027777778
4,fuelbreak,postgoat,Shrub,6.583333333
5,fuelbreak,postgoat,Herb,0.23
5,fuelbreak,postgoat,Shrub,43.19
6,fuelbreak,postgoat,Herb,0
6,fuelbreak,postgoat,Shrub,9.555555556
7,fuelbreak,postgoat,Herb,0.06
7,fuelbreak,postgoat,Shrub,15.29
8,fuelbreak,postgoat,Herb,0
8,fuelbreak,postgoat,Shrub,6.76
9,fuelbreak,postgoat,Herb,0.5
9,fuelbreak,postgoat,Shrub,8.09
10,fuelbreak,postgoat,Herb,0.07
10,fuelbreak,postgoat,Shrub,15.11
11,fuelbreak,postgoat,Herb,3.653846154
11,fuelbreak,postgoat,Shrub,2.012820513
12,fuelbreak,postgoat,Herb,0.19
12,fuelbreak,postgoat,Shrub,24.89
13,fuelbreak,postgoat,Herb,1.55
13,fuelbreak,postgoat,Shrub,6.34
14,fuelbreak,postgoat,Herb,0.28
14,fuelbreak,postgoat,Shrub,12.01
15,fuelbreak,postgoat,Herb,0.252525253
15,fuelbreak,postgoat,Shrub,13.23232323
16,fuelbreak,postgoat,Herb,0.032786885
16,fuelbreak,postgoat,Shrub,25.01639344
17,fuelbreak,postgoat,Herb,0
17,fuelbreak,postgoat,Shrub,16.52
19,contol,postgoat,Herb,0
19,contol,postgoat,Shrub,114.7764706
20,contol,postgoat,Herb,0
20,contol,postgoat,Shrub,53.79
21,contol,postgoat,Herb,0.875
21,contol,postgoat,Shrub,203.2727273
22,contol,postgoat,Herb,0
22,contol,postgoat,Shrub,79
23,contol,postgoat,Herb,0
23,contol,postgoat,Shrub,97.575
24,contol,postgoat,Herb,0
24,contol,postgoat,Shrub,71.0326087
25,contol,postgoat,Herb,0
25,contol,postgoat,Shrub,79.67073171
26,contol,postgoat,Herb,0
26,contol,postgoat,Shrub,97.25490196
