plot_time,Herb,ADFA,B(ADFA),BRDE,BRDI,BRMA,BRTE,MALA,B(MALA),MAMA,Peony,PLAGIO,STEPH,VUMY,ARCTO,B(ARCTO),ARTR,B(ARTR),BrightEyes,CEBE,B(CEBE),CELU,B(CELU),CEPE,B(CEPE),ERCI,ERCO,B(ERCO),ERFA,B(ERFA),ERIC,B(ERIC),Erigeron,GAAN,Garrya,B(Garrya),LOSU,B(LOSU),LOTUS,PECE,PENST,PHACELIA,POA,PRIL,B(PRIL),B(QUEG),B(QUBE),QUAG,B(QUAG),RAN1,RHAR,B(RHAR),RHIL,B(RHIL),Salsola,Salvia,Yucca,B(Yucca),ACGL,B(ACGL),ACMI,ADSP,B(ADSP),ArctoG,B(ArctoG),ARPU,B(ARPU),ASDO,AVENA,AWL,BRHO,BRTO,CEANOTHUS,B(CEANOTHUS),Cholla,B(Cholla),Clem,CLOVER,CLPA,COLLINSIA,CRYPT,Cuscuta,Erio ann,Fern,HEAR,B(HEAR),Hordeum 2,ISHA,KETE,Lessingia,LR,LUCO,MAFA,MELICA,Nemophila,Onagraceae an,OPPCAT,Scroph,Spike1,TP,URLI,Juncus
1_contol_pregoat,0,20,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2_goats_pregoat,0,0,0,0,0,7,0,27,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3_goats_pregoat,0,24,1,0,26,5,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,3,2,4,2,5,4,4,0,0,0,2,0,0,0,0,0,3,0,0,0,0,24,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4_goats_pregoat,0,0,0,0,49,8,27,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5_goats_pregoat,0,4,2,0,0,9,4,0,0,0,0,1,0,17,0,0,0,0,1,5,0,0,0,0,0,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1
6_goats_pregoat,0,5,0,0,0,24,7,0,0,0,1,4,0,0,0,0,7,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7_goats_pregoat,0,21,0,0,0,0,0,0,0,0,0,13,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8_goats_pregoat,0,4,0,0,0,24,0,0,0,0,0,1,1,0,0,0,0,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9_goats_pregoat,0,0,0,0,0,19,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_goats_pregoat,0,28,1,0,0,3,3,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
