plot_id,treatment,time,tree_l,tree_d,shrub_l,shrub_d,native_herb,exotic_herb,total_herb,total
2,goats,pregoat,0,0,3,1,9,1,10,14
3,goats,pregoat,1,0,7,4,4,4,8,20
4,goats,pregoat,1,0,2,1,4,6,10,14
5,goats,pregoat,0,0,7,5,11,3,14,26
6,goats,pregoat,1,0,4,1,3,4,7,13
7,goats,pregoat,0,0,3,1,4,0,4,8
8,goats,pregoat,0,0,4,0,3,1,4,8
9,goats,pregoat,0,0,6,1,5,1,6,13
10,goats,pregoat,0,0,2,1,2,3,5,8
11,goats,pregoat,1,0,1,0,6,5,11,13
12,goats,pregoat,0,0,6,1,6,4,10,17
13,goats,pregoat,0,0,2,0,5,0,5,7
14,goats,pregoat,0,0,3,1,6,0,6,10
15,goats,pregoat,1,0,2,1,4,5,9,13
16,goats,pregoat,1,0,5,3,3,4,7,16
17,goats,pregoat,0,0,6,3,1,3,4,13
19,contol,pregoat,1,0,5,3,0,0,0,9
20,contol,pregoat,0,0,5,3,1,3,4,12
21,contol,pregoat,0,0,7,6,2,0,2,15
22,contol,pregoat,0,0,2,3,0,0,0,5
23,contol,pregoat,0,0,3,3,1,0,1,7
24,contol,pregoat,0,0,3,3,1,0,1,7
25,contol,pregoat,1,0,4,4,2,0,2,11
26,contol,pregoat,1,0,4,7,2,1,3,15
2,goats,postgoat,1,1,2,0,3,1,4,8
3,goats,postgoat,1,0,4,2,1,2,3,10
4,goats,postgoat,1,1,2,2,0,2,2,8
5,goats,postgoat,0,0,5,5,0,1,1,11
6,goats,postgoat,1,0,2,0,0,0,0,3
7,goats,postgoat,0,0,2,1,2,0,2,5
8,goats,postgoat,0,0,3,4,0,1,1,8
9,goats,postgoat,0,0,4,2,1,0,1,7
10,goats,postgoat,0,0,2,1,2,0,2,5
11,goats,postgoat,1,0,1,0,3,1,4,6
12,goats,postgoat,0,0,5,3,1,0,1,9
13,goats,postgoat,0,0,2,0,2,0,2,4
14,goats,postgoat,0,0,3,3,1,0,1,7
15,goats,postgoat,0,1,2,1,0,1,1,5
16,goats,postgoat,1,1,4,1,0,1,1,8
17,goats,postgoat,0,0,5,1,0,1,1,7
19,contol,postgoat,1,0,5,5,0,0,0,11
20,contol,postgoat,0,0,3,7,1,1,2,12
21,contol,postgoat,1,1,4,6,3,0,3,15
22,contol,postgoat,0,0,2,3,0,0,0,5
23,contol,postgoat,0,0,3,4,1,0,1,8
24,contol,postgoat,1,1,2,3,0,0,0,7
25,contol,postgoat,1,0,4,5,1,0,1,11
26,contol,postgoat,1,1,4,7,1,1,2,15
