plot_id,treatment,time,Herb,P(herb),ADFA,B(ADFA),P(ADFA),BRDE,BRDI,BRMA,BRTE,MALA,B(MALA),P(MALA),MAMA,Peony,Plagio,Steph,VUMY,Arcto ,B(Arcto) ,P(Arcto) ,ARTR,B(ARTR),P(ARTR),Bright Eyes,CEBE,B(CEBE),P(CEBE),CELU,B(CELU),P(CELU),CEPE,B(CEPE),P(CEPE),ERCI,ERCO,B(ERCO),P(ERCO),ERFA,B(ERFA),P(ERFA),ericameria,B(ericameria),P(ericameria),Erigeron,GAAN,Garrya,B(Garrya),P(Garrya),Gerea,LOSU,B(LOSU),P(LOSU),Lotus sp.,PECE,Penst,Phacelia,Poa,PRIL,B(PRIL),P(PRIL),QU1 & QU4,B(QU1 & QU4),P(QU1 & QU4),QU3 & QU5,B(QU3 & QU5),P(QU3 & QU5),QUAG,B(QUAG),P(QUAG),Ran1,RHAR,B(RHAR),P(RHAR),RHIL,B(RHIL),P(RHIL),Salsola,Salvia ,Yucca ,B(Yucca) ,P(Yucca) ,ACGL,B(ACGL),P(ACGL),ACMI,ADSP,B(ADSP),P(ADSP),Arcto G,B(Arcto G),P(Arcto G),ARPU,B(ARPU),P(ARPU),ASDO,Avena,AWL ,BRHO,BRTO,Cea sp.,B(Cea sp.),P(Cea sp.),Cholla,B(Cholla),P(Cholla),Clem,Clover1,CLPA,Collinsia,Crypt,Cuscuta,Erio ann,Fern,HEAR,B(HEAR),P(HEAR),Hordeum 2,ISHA,KETE,Lessingia,LR,LUCO,MAFA,Melica sp.,Nemophila,Onagraceae an,OPP CAT,Scroph,Spike1,TECO,This1,Tiny senecio,TP,URLI,Juncus
1,contol,pregoat,,9,20,1,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,goats,pregoat,,4,,,,,,7,,27,,,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,6,,1,,,,2,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,,,,
3,goats,pregoat,,1,24,1,,,26,5,26,,,,,,,,1,,,,,,,,,,,,,,5,,,,3,2,,4,2,,5,4,,4,,,,,,2,,,,,,,3,,,,,,,,,,24,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,goats,pregoat,,10,,,,,49,8,27,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,21,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
5,goats,pregoat,,,4,2,,,,9,4,,,,,,1,,17,,,,,,,1,5,,,,,,,,,,1,,,1,3,,,,,1,,,,,,,,,,,,,,,,,,,,23,9,,,,,,1,2,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,2,,1,,,1,,,,,,,,,,,,,1,1,,1,,,,,,,1,1
6,goats,pregoat,,,5,,,,,24,7,,,,,1,4,,,,,,7,,,,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,1,4,,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,goats,pregoat,,18,21,,,,,,,,,,,,13,25,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
8,goats,pregoat,,3,4,,,,,24,,,,,,,1,1,,,,,,,,,13,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,goats,pregoat,,,,,,,,19,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,13,,8,,,,,,4,,,,,,,,,,2,2,,,,,,,1,,,,,,,,,,1,,,,,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,
10,goats,pregoat,,9,28,1,,,,3,3,,,,,,,12,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,goats,pregoat,,9,3,,,3,6,,34,,,,,1,3,5,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
